official_service_name,official_category,cpp_listed,saa_listed,cpp_expected_depth,saa_expected_depth,canonical_location,existing_files,coverage_status,current_badges,recommended_badges,importance,terminology_status,action_required,target_path,notes
AWS X-Ray,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/aws-batch/01-overview.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
All IoT services,See official in-scope service list,false,false,not-applicable,not-applicable,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md; 14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md; 14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon API Gateway,See official in-scope service list,true,true,awareness,architecture-and-design,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,complete,CPP;SAA,CPP;SAA,important-supporting,current official list wording,none,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,Canonical lesson expanded and validated in Phase 6 Batch 5; official lists checked 2026-07-21.
Amazon AppFlow,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon AppStream 2.0,See official in-scope service list,true,false,awareness,not-applicable,missing,,missing,inspect inventory,CPP;,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Athena,See official in-scope service list,true,true,awareness,awareness,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-redshift/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Augmented AI,See official in-scope service list,false,false,not-applicable,not-applicable,02-global-infrastructure/aws-wavelength/01-overview.md,02-global-infrastructure/aws-wavelength/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,02-global-infrastructure/aws-wavelength/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Aurora,See official in-scope service list,true,true,fundamental,architecture-and-design,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md; 04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,mention-only,inspect inventory,CPP;SAA,high,current official list wording,audit/expand or create at target,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Aurora Serverless,See official in-scope service list,false,true,not-applicable,awareness,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md; 06-databases/amazon-aurora/02-provisioned.md,complete,inspect inventory,SAA,awareness,current official list wording,none,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Braket,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Cloud Directory,See official in-scope service list,false,false,not-applicable,not-applicable,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 09-security-and-compliance/amazon-verified-permissions/01-overview.md,complete,inspect inventory,,awareness,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon CloudFront,See official in-scope service list,true,true,fundamental,architecture-and-design,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md; 08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,complete,inspect inventory,CPP;SAA,high,current official list wording,none,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon CloudWatch,See official in-scope service list,true,true,fundamental,architecture-and-design,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/02-study-guide.md,complete,inspect inventory,CPP;SAA,high,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon CodeGuru,See official in-scope service list,false,false,not-applicable,not-applicable,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md; 10-monitoring-management-and-deployment/README.md,complete,inspect inventory,,awareness,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Cognito,See official in-scope service list,true,true,awareness,awareness,09-security-and-compliance/amazon-verified-permissions/01-overview.md,09-security-and-compliance/amazon-verified-permissions/01-overview.md; 08-serverless-and-application-integration/amazon-api-gateway/01-overview.md; 14-ai-ml-analytics-and-other-services/business-applications/aws-amplify/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,09-security-and-compliance/amazon-verified-permissions/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Comprehend,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md; 14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-textract/01-overview.md; 14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-comprehend/01-overview.md,mention-only,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Connect,See official in-scope service list,true,false,awareness,not-applicable,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,complete,inspect inventory,CPP;,awareness,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Corretto,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Data Firehose,See official in-scope service list,false,true,not-applicable,awareness,14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,mention-only,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Data Lifecycle Manager,See official in-scope service list,false,false,not-applicable,not-applicable,09-security-and-compliance/aws-kms/01-overview.md,09-security-and-compliance/aws-kms/01-overview.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,complete,inspect inventory,,awareness,current official list wording,none,09-security-and-compliance/aws-kms/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon DataZone,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Detective,See official in-scope service list,true,true,awareness,awareness,03-identity-governance-and-organizations/aws-control-tower/01-overview.md,03-identity-governance-and-organizations/aws-control-tower/01-overview.md; 09-security-and-compliance/amazon-macie/01-overview.md,mention-only,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,03-identity-governance-and-organizations/aws-control-tower/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon DevOps Guru,See official in-scope service list,false,false,not-applicable,not-applicable,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,complete,inspect inventory,,awareness,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon DevPay,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon DocumentDB,See official in-scope service list,true,true,awareness,awareness,missing,,missing,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon DynamoDB,See official in-scope service list,true,true,fundamental,architecture-and-design,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,complete,inspect inventory,CPP;SAA,critical-core,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EBS,See official in-scope service list,true,true,fundamental,architecture-and-design,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,complete,inspect inventory,CPP;SAA,high,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EC2,See official in-scope service list,true,true,fundamental,architecture-and-design,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,complete,inspect inventory,CPP;SAA,critical-core,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EC2 Auto Scaling,See official in-scope service list,false,true,not-applicable,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,complete,inspect inventory,SAA,awareness,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon ECR,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon ECS,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md; 10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon ECS Anywhere,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EFS,See official in-scope service list,true,true,fundamental,architecture-and-design,05-storage/amazon-fsx-for-lustre/01-overview.md,05-storage/amazon-fsx-for-lustre/01-overview.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md; 05-storage/amazon-ebs/01-overview.md,complete,inspect inventory,CPP;SAA,high,current official list wording,none,05-storage/amazon-fsx-for-lustre/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EKS,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/02-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EKS Anywhere,See official in-scope service list,false,true,not-applicable,awareness,04-compute/amazon-ec2/02-study-guide.md,04-compute/amazon-ec2/02-study-guide.md,complete,inspect inventory,SAA,awareness,current official list wording,none,04-compute/amazon-ec2/02-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EKS Distro,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EMR,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 04-compute/aws-batch/01-overview.md; 15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon ElastiCache,See official in-scope service list,true,true,awareness,awareness,06-databases/amazon-elasticache/01-overview.md,06-databases/amazon-elasticache/01-overview.md; 06-databases/README.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,06-databases/amazon-elasticache/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Elastic Inference,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Elastic Transcoder,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon EventBridge,See official in-scope service list,true,true,awareness,architecture-and-design,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,complete,CPP;SAA,CPP;SAA,important-supporting,current official list wording,none,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,Canonical lesson created and validated in Phase 6 Batch 5; official lists checked 2026-07-21.
Amazon FSx,See official in-scope service list,true,true,awareness,awareness,05-storage/amazon-fsx-for-lustre/01-overview.md,05-storage/amazon-fsx-for-lustre/01-overview.md; 05-storage/amazon-ebs/01-overview.md; 15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,05-storage/amazon-fsx-for-lustre/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon FSx for Lustre,See official in-scope service list,false,false,not-applicable,not-applicable,05-storage/amazon-fsx-for-lustre/01-overview.md,05-storage/amazon-fsx-for-lustre/01-overview.md; 05-storage/amazon-ebs/01-overview.md; 05-storage/amazon-fsx-for-windows-file-server/01-overview.md,complete,inspect inventory,,awareness,current official list wording,none,05-storage/amazon-fsx-for-lustre/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Fraud Detector,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon GameLift,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"Amazon GuardDuty","See official in-scope service list","true","true","awareness","architecture-and-design","15-comparisons-and-decision-guides/security/01-security-service-selection.md","15-comparisons-and-decision-guides/security/01-security-service-selection.md","complete","CPP;SAA","CPP;SAA","important-supporting","current official list wording","none","15-comparisons-and-decision-guides/security/01-security-service-selection.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
Amazon HealthLake,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"Amazon Inspector","See official in-scope service list","true","true","awareness","architecture-and-design","15-comparisons-and-decision-guides/security/01-security-service-selection.md","15-comparisons-and-decision-guides/security/01-security-service-selection.md","complete","CPP;SAA","CPP;SAA","important-supporting","current official list wording","none","15-comparisons-and-decision-guides/security/01-security-service-selection.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
Amazon Interactive Video Service,See official in-scope service list,false,false,not-applicable,not-applicable,04-compute/aws-batch/01-overview.md,04-compute/aws-batch/01-overview.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md; 02-global-infrastructure/aws-local-zones/01-overview.md,complete,inspect inventory,,awareness,current official list wording,none,04-compute/aws-batch/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Kendra,See official in-scope service list,true,true,awareness,awareness,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-textract/01-overview.md,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-textract/01-overview.md; 14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-kendra/01-overview.md; 14-ai-ml-analytics-and-other-services/README.md,mention-only,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-textract/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Keyspaces,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Kinesis,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-redshift/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Kinesis Video Streams,See official in-scope service list,false,true,not-applicable,awareness,14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md; 14-ai-ml-analytics-and-other-services/README.md; 15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,partial,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Lex,See official in-scope service list,true,true,awareness,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Lightsail,See official in-scope service list,true,false,awareness,not-applicable,04-compute/amazon-ec2/04-key-pairs.md,04-compute/amazon-ec2/04-key-pairs.md; 04-compute/amazon-ec2/01-overview.md; 04-compute/amazon-lightsail/01-overview.md,mention-only,inspect inventory,CPP;,awareness,current official list wording,audit/expand or create at target,04-compute/amazon-ec2/04-key-pairs.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Location Service,See official in-scope service list,false,false,not-applicable,not-applicable,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,complete,inspect inventory,,awareness,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Lookout for Metrics,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Lumberyard,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon MQ,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon MSK,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon MWAA,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"Amazon Macie","See official in-scope service list","true","true","awareness","architecture-and-design","15-comparisons-and-decision-guides/security/01-security-service-selection.md","15-comparisons-and-decision-guides/security/01-security-service-selection.md","complete","CPP;SAA","CPP;SAA","important-supporting","current official list wording","none","15-comparisons-and-decision-guides/security/01-security-service-selection.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
Amazon Managed Blockchain,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
Amazon Managed Grafana,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
