current_path,proposed_path,action,certification,content_type,duplicate_group,confidence,notes
"e) AWS Claude Network & Gateways/AWS Tape Gateway(Claude version) .md","11-migration-and-hybrid-cloud/aws-storage-gateway/05-tape-gateway.md","rename-and-move",CPP,"service explanation",DG-09-tape-gateway,high,"topic=Migration and hybrid cloud; service_or_concept=aws-storage-gateway; quality=canonical candidate; related=e) AWS Claude Network & Gateways/AWS Tape Gateway.md"
"e) AWS Claude Network & Gateways/AWS Transit Gateway .md","07-networking-and-content-delivery/aws-transit-gateway/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=aws-transit-gateway; quality=canonical candidate; no close overlap identified"
"e) AWS Claude Network & Gateways/AWS Volume Gateway (Cached Mode) Claude version .md","11-migration-and-hybrid-cloud/aws-storage-gateway/03-volume-gateway-cached.md","rename-and-move",CPP,"feature explanation",DG-10-volume-gateway-cached,high,"topic=Migration and hybrid cloud; service_or_concept=aws-storage-gateway; quality=canonical candidate; related=e) AWS Claude Network & Gateways/AWS Volume Gateway (Cached Mode).md"
"e) AWS Claude Network & Gateways/AWS Volume Gateway (Cached Mode).md","11-migration-and-hybrid-cloud/aws-storage-gateway/03-volume-gateway-cached.md","merge-later",CPP,"feature explanation",DG-10-volume-gateway-cached,high,"topic=Migration and hybrid cloud; service_or_concept=aws-storage-gateway; quality=duplicate candidate; related=e) AWS Claude Network & Gateways/AWS Volume Gateway (Cached Mode) Claude version .md"
"e) AWS Claude Network & Gateways/AWS Volume Gateway (Stored Mode).md","11-migration-and-hybrid-cloud/aws-storage-gateway/04-volume-gateway-stored.md","rename-and-move",CPP,"feature explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-storage-gateway; quality=useful supplementary content; related=e) AWS Claude Network & Gateways/AWS File Gateway.md; e) AWS Claude Network & Gateways/AWS Storage Gateway .md; e) AWS Claude Network & Gateways/AWS Storage Gateway vs AWS File Gateway.md; e) AWS Claude Network & Gateways/AWS Tape Gateway.md; e) AWS Claude Network & Gateways/AWS Tape Gateway(Claude version) .md"
"e) AWS Claude Network & Gateways/Customer Gateway (CGW).md","07-networking-and-content-delivery/amazon-vpc/06-customer-gateway.md","rename-and-move",CPP,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-vpc; quality=canonical candidate; related=a) Service Explanations/VPC Endpoint Services.md; a) Service Explanations/VPC Peering .md; c) Keywords services/AWS Networking – Complete Cloud Practitioner Study Guide.md; e) AWS Claude Network & Gateways/Amazon VPC Security Groups .md; e) AWS Claude Network & Gateways/NAT Gateway.md"
"e) AWS Claude Network & Gateways/NAT Gateway.md","07-networking-and-content-delivery/amazon-vpc/08-nat-gateway.md","rename-and-move",CPP,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-vpc; quality=canonical candidate; related=a) Service Explanations/VPC Endpoint Services.md; a) Service Explanations/VPC Peering .md; c) Keywords services/AWS Networking – Complete Cloud Practitioner Study Guide.md; e) AWS Claude Network & Gateways/Amazon VPC Security Groups .md; e) AWS Claude Network & Gateways/Customer Gateway (CGW).md"
"e) AWS Claude Network & Gateways/Remote Desktop Protocol (RDP) Connection.md","04-compute/amazon-ec2/06-rdp-connections.md","rename-and-move",CPP,"service explanation",,high,"topic=Compute; service_or_concept=amazon-ec2; quality=canonical candidate; related=a) Service Explanations/Amazon EC2 .md; a) Service Explanations/Amazon EC2 Instance Connect .md"
"e) AWS Claude Network & Gateways/Virtual Private Gateway (VGW).md","07-networking-and-content-delivery/amazon-vpc/07-virtual-private-gateway.md","rename-and-move",CPP,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-vpc; quality=canonical candidate; related=a) Service Explanations/VPC Endpoint Services.md; a) Service Explanations/VPC Peering .md; c) Keywords services/AWS Networking – Complete Cloud Practitioner Study Guide.md; e) AWS Claude Network & Gateways/Amazon VPC Security Groups .md; e) AWS Claude Network & Gateways/Customer Gateway (CGW).md"
"e) AWS Claude Network & Gateways/VPC Flow Logs .md","07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md","rename-and-move",both,"feature explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-vpc; quality=useful supplementary content; related=a) Service Explanations/VPC Endpoint Services.md; a) Service Explanations/VPC Peering .md; c) Keywords services/AWS Networking – Complete Cloud Practitioner Study Guide.md; e) AWS Claude Network & Gateways/Amazon VPC Security Groups .md; e) AWS Claude Network & Gateways/Customer Gateway (CGW).md"
"f) EC2/PlacementGroups.md","13-architecture-and-design-patterns/amazon-ec2/02-placement-groups.md","rename-and-move",both,"architecture pattern",,high,"topic=Architecture and design patterns; service_or_concept=amazon-ec2; quality=canonical candidate; no close overlap identified"
"g)ELB & ASG/SSL Termination .md","13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md","rename-and-move",both,"architecture pattern",,high,"topic=Architecture and design patterns; service_or_concept=transport-layer-security; quality=canonical candidate; related=h) RDS/SSL & TLS with Load Balancer and RDS.md"
"h) RDS/SSL & TLS with Load Balancer and RDS.md","13-architecture-and-design-patterns/transport-layer-security/02-tls-with-load-balancers-and-rds.md","rename-and-move",both,"architecture pattern",,high,"topic=Architecture and design patterns; service_or_concept=transport-layer-security; quality=canonical candidate; related=g)ELB & ASG/SSL Termination .md"

